st_dbscan_cluster_id,records_total,distinct_days,severity_sum,severity_mean,peak_window_records,unique_vehicles,unique_vehicle_types,lat,lon,cluster_label,weekly_first_half_mean,weekly_second_half_mean,weekly_recent_mean,weekly_previous_mean,weekly_trend_slope,peak_week_ratio,growth_pct_change,growth_multiplier,recent_vs_prev_ratio,resurgence_score,recent_volume_norm,growth_norm,trend_slope_norm,resurgence_norm,peak_ratio_norm,severity_norm,records_norm,anomaly_score_raw,anomaly_score,emerging_hotspot_score,emerging_rank,alert_level,is_emerging_hotspot,priority_message
206,162,15,278,1.7160493827160495,57,153,11,12.953292750154924,77.54247975876544,"BTP095 - Satellite Bus Stand, Mysore Road",5.0,78.5,78.5,5.0,52.49999999999999,2.037037036999314,3.0,4.0,13.25,208.02499996104498,0.9431264024585144,0.9999999997368421,1.0,0.992931830230227,0.824790292160253,0.612460401265723,0.8099051137047784,0.13561349081501195,0.8849442485582764,95.508505720669,1,Emerging-Critical,1,"BTP095 - Satellite Bus Stand, Mysore Road | Emerging-Critical | Score=95.51"
639,233,14,464,1.9914163090128756,86,228,12,12.939469399820071,77.69590168597882,POLICE_STATION::HAL Old Airport,12.0,110.5,110.5,12.0,58.999999999999986,1.6738197424677188,3.0,4.0,8.576923076923077,78.9791666607998,1.0,0.9999999997368421,1.0,0.8105227656712989,0.5359114114956139,1.0,0.9360652862587832,0.15843018104260775,0.9571798001617129,95.21916338041609,2,Emerging-Critical,1,POLICE_STATION::HAL Old Airport | Emerging-Critical | Score=95.22
290,135,8,256,1.8962962962962964,119,124,5,13.071124075555556,77.58794889925926,POLICE_STATION::Kodigehalli,7.0,128.0,128.0,7.0,120.99999999999997,1.8962962962682028,3.0,4.0,16.125,294.85714281732396,1.0,0.9999999997368421,1.0,1.0,0.7128544668060477,0.5608353865996467,0.7467169111182457,0.11651351257022435,0.8244754666988818,94.3832149275221,3,Emerging-Critical,1,POLICE_STATION::Kodigehalli | Emerging-Critical | Score=94.38
100,144,7,225,1.5625,20,144,5,13.185167209722222,77.68018128819443,CLUSTER::100,6.0,138.0,138.0,6.0,131.99999999999997,1.9166666666400463,3.0,4.0,19.857142857142858,456.7142856414762,1.0,0.9999999997368421,1.0,1.0,0.7290557046885416,0.4880910477519938,0.7690754562640104,0.11000564458847395,0.8038721526890559,93.72390887920767,4,Emerging-Critical,1,CLUSTER::100 | Emerging-Critical | Score=93.72
56,265,9,502,1.8943396226415095,144,255,7,12.999429728679246,77.5503542664151,CLUSTER::56,7.0,129.0,129.0,7.0,-1.4999999999999476,2.875471698080655,3.0,4.0,16.25,299.4642856738265,1.0,0.9999999997368421,0.47580645160522994,1.0,1.0,1.0,0.9807884757321341,0.17195558704105673,0.9999999968340915,93.70967731111158,5,Emerging-Critical,1,CLUSTER::56 | Emerging-Critical | Score=93.71
20,374,12,630,1.6844919786096257,141,368,11,12.965108344385026,77.57599985347593,BTP082 - KR Market Junction,13.0,180.5,180.5,13.0,4.000000000000072,2.727272727250851,3.0,4.0,12.964285714285714,180.00412086627165,1.0,0.9999999997368421,0.5645161290231543,0.9656025758741117,1.0,1.0,1.0,0.15694349895650728,0.9524731008342824,92.6341791338668,6,Emerging-Critical,1,BTP082 - KR Market Junction | Emerging-Critical | Score=92.63
658,130,8,137,1.0538461538461539,61,97,7,12.928310980000001,77.58075038615384,"BTP189 - New Diagonal Road, Jayanagar",2.0,128.0,128.0,2.0,125.99999999999997,1.9692307692004734,3.0,4.0,43.0,2751.9999986455,1.0,0.9999999997368421,1.0,1.0,0.7708616961416183,0.2815909890876887,0.7336471304398837,0.08891147666460364,0.7370899489427218,91.586878359325,7,Emerging-Critical,1,"BTP189 - New Diagonal Road, Jayanagar | Emerging-Critical | Score=91.59"
96,98,6,174,1.7755102040816326,13,91,8,12.933721112840656,77.69087792219547,CLUSTER::96,3.0,95.0,95.0,3.0,91.99999999999997,1.938775510164515,3.0,4.0,24.0,759.9999997546666,0.9974008779570801,0.9999999997368421,1.0,1.0,0.7466396085012017,0.36841487738972606,0.6359218408533261,0.08803071291711073,0.7343015315825426,91.46645953928423,8,Emerging-Critical,1,CLUSTER::96 | Emerging-Critical | Score=91.47
232,230,15,407,1.7695652173913043,58,185,7,12.992035426956521,77.58888548869565,BTP032 - Windsor Circle,18.0,106.0,106.0,18.0,32.00000000000001,1.695652173890926,3.0,4.0,5.631578947368421,33.16374268852892,1.0,0.9999999997368421,1.0,0.6490161873154484,0.5532754755054432,0.9151707145349883,0.9315629999433748,0.14810125828655585,0.9244793766861685,91.26563141879336,9,Emerging-Critical,1,BTP032 - Windsor Circle | Emerging-Critical | Score=91.27
272,118,13,138,1.1694915254237288,25,98,7,12.973449623039485,77.62197173472174,POLICE_STATION::Halasur,1.0,58.5,58.5,1.0,29.5,1.5254237287747774,3.0,4.0,29.75,1740.3749982893748,0.8597306845544008,0.9999999997368421,0.9758064515971647,1.0,0.4178870911339018,0.28393758066341945,0.7001248240423009,0.09447919599794519,0.7547168384348103,90.1773844568906,10,Emerging-Critical,1,POLICE_STATION::Halasur | Emerging-Critical | Score=90.18
602,88,8,113,1.2840909090909092,49,87,8,12.947538113636364,77.69894035,POLICE_STATION::HAL Old Airport,3.0,85.0,85.0,3.0,81.99999999999997,1.931818181774277,3.0,4.0,21.5,609.1666664707777,0.9657438237152364,0.9999999997368421,1.0,1.0,0.741106212189828,0.22527279127015098,0.598767374824418,0.0641379793657797,0.6586593253651428,88.6660242894253,11,Emerging-Critical,1,POLICE_STATION::HAL Old Airport | Emerging-Critical | Score=88.67
